filename,width,height,class,xmin,ymin,xmax,ymax
00000000_co.png,1024,1024,vehicle,554,996,607,1021
00000001_co.png,1024,1024,vehicle,326,805,363,819
00000001_co.png,1024,1024,vehicle,390,803,435,819
00000002_co.png,1024,1024,vehicle,593,826,620,867
00000003_co.png,1024,1024,vehicle,839,880,915,903
00000004_co.png,1024,1024,vehicle,272,615,312,632
00000004_co.png,1024,1024,vehicle,322,434,346,507
00000006_co.png,1024,1024,vehicle,3,720,38,745
00000006_co.png,1024,1024,vehicle,1,278,22,312
00000006_co.png,1024,1024,vehicle,12,314,34,353
00000006_co.png,1024,1024,vehicle,70,334,106,366
00000006_co.png,1024,1024,vehicle,76,170,109,187
00000006_co.png,1024,1024,vehicle,111,163,141,201
00000006_co.png,1024,1024,vehicle,141,167,164,209
00000007_co.png,1024,1024,vehicle,88,943,109,981
00000007_co.png,1024,1024,vehicle,111,957,134,1001
00000007_co.png,1024,1024,vehicle,222,969,244,1010
00000007_co.png,1024,1024,vehicle,241,998,266,1024
00000008_co.png,1024,1024,vehicle,980,59,1020,134
00000009_co.png,1024,1024,vehicle,111,69,141,134
00000009_co.png,1024,1024,vehicle,147,47,165,99
00000009_co.png,1024,1024,vehicle,210,104,226,149
00000009_co.png,1024,1024,vehicle,227,103,247,150
00000010_co.png,1024,1024,vehicle,822,152,864,183
00000010_co.png,1024,1024,vehicle,749,71,785,97
00000010_co.png,1024,1024,vehicle,907,79,939,103
00000010_co.png,1024,1024,vehicle,484,199,570,240
00000010_co.png,1024,1024,vehicle,459,230,537,264
00000010_co.png,1024,1024,vehicle,650,273,670,294
00000010_co.png,1024,1024,vehicle,789,278,812,312
00000010_co.png,1024,1024,vehicle,920,332,955,355
00000010_co.png,1024,1024,vehicle,902,290,940,312
00000011_co.png,1024,1024,vehicle,65,458,90,523
00000011_co.png,1024,1024,vehicle,8,403,43,441
00000011_co.png,1024,1024,vehicle,283,188,320,212
00000011_co.png,1024,1024,vehicle,306,285,358,309
00000011_co.png,1024,1024,vehicle,406,299,461,355
00000011_co.png,1024,1024,vehicle,517,94,558,126
00000011_co.png,1024,1024,vehicle,639,76,715,117
00000011_co.png,1024,1024,vehicle,762,65,825,103
00000012_co.png,1024,1024,vehicle,899,173,920,221
00000013_co.png,1024,1024,vehicle,407,122,450,149
00000013_co.png,1024,1024,vehicle,308,130,370,187
00000014_co.png,1024,1024,vehicle,359,625,404,650
